name,size
java.beans.PropertyDescriptor,36308.0
java.beans.PropertyEditor,24884.0
java.beans.PropertyEditorManager,18414.0
java.beans.PropertyEditorSupport,33793.0
java.beans.PropertyVetoException,14503.0
java.beans.SimpleBeanInfo,25025.0
java.beans.Statement,20422.0
java.beans.Transient,10684.0
java.beans.VetoableChangeListener,10579.0
java.beans.VetoableChangeListenerProxy,16624.0
java.beans.VetoableChangeSupport,35378.0
java.beans.Visibility,11735.0
java.beans.XMLDecoder,28862.0
java.beans.XMLEncoder,32055.0
java.io,
java.io.BufferedInputStream,36522.0
java.io.BufferedOutputStream,21406.0
java.io.BufferedReader,33067.0
java.io.BufferedWriter,25153.0
java.io.ByteArrayInputStream,30936.0
java.io.ByteArrayOutputStream,30405.0
java.io.CharArrayReader,27891.0
java.io.CharArrayWriter,32185.0
java.io.CharConversionException,12674.0
java.io.Closeable,23898.0
java.io.Console,30472.0
java.io.DataInput,42385.0
java.io.DataInputStream,54804.0
java.io.DataOutput,32848.0
java.io.DataOutputStream,42686.0
java.io.EOFException,13225.0
java.io.Externalizable,14709.0
java.io.File,138467.0
java.io.FileDescriptor,17878.0
java.io.FileFilter,9790.0
java.io.FileInputStream,35424.0
java.io.FilenameFilter,10443.0
java.io.FileNotFoundException,13702.0
java.io.FileOutputStream,35748.0
java.io.FilePermission,25032.0
java.io.FileReader,15793.0
java.io.FileWriter,19404.0
java.io.FilterInputStream,32195.0
java.io.FilterOutputStream,24209.0
java.io.FilterReader,25277.0
java.io.FilterWriter,21989.0
java.io.Flushable,12514.0
java.io.InputStream,33613.0
java.io.InputStreamReader,26325.0
java.io.InterruptedIOException,15420.0
java.io.InvalidClassException,17528.0
java.io.InvalidObjectException,12753.0
java.io.IOError,11959.0
java.io.IOException,19769.0
java.io.LineNumberInputStream,29941.0
java.io.LineNumberReader,26057.0
java.io.NotActiveException,12906.0
java.io.NotSerializableException,13153.0
java.io.ObjectInput,18636.0
java.io.ObjectInputStream.GetField,29758.0
java.io.ObjectInputStream,91639.0
java.io.ObjectInputValidation,9657.0
java.io.ObjectOutput,17512.0
java.io.ObjectOutputStream,81449.0
java.io.ObjectOutputStream.PutField,26696.0
